公告,#genre#
CCTV5,http://112.66.141.124:8888/rtp/239.253.64.245:5140
CCTV5+,http://112.66.141.124:8888/rtp/239.253.64.100:5140
CCTV6,http://112.66.141.124:8888/rtp/239.253.64.246:5140
CCTV7,http://112.66.141.124:8888/rtp/239.253.64.54:5140
CCTV8,http://112.66.141.124:8888/rtp/239.253.64.247:5140
CCTV9,http://112.66.141.124:8888/rtp/239.253.64.76:5140
CCTV10,http://112.66.141.124:8888/rtp/239.253.64.87:5140
CCTV11,http://112.66.141.124:8888/rtp/239.253.64.70:5140
CCTV12,http://112.66.141.124:8888/rtp/239.253.64.97:5140
CCTV13,http://112.66.141.124:8888/rtp/239.253.64.59:5140
CCTV14,http://112.66.141.124:8888/rtp/239.253.64.115:5140
CCTV15,http://112.66.141.124:8888/rtp/239.253.64.72:5140
CCTV16,http://112.66.141.124:8888/rtp/239.253.64.251:5140
CCTV17,http://112.66.141.124:8888/rtp/239.253.64.67:5140
CCTV1SD,http://112.66.141.124:8888/rtp/239.253.64.12:5140
CCTV2SD,http://112.66.141.124:8888/rtp/239.253.64.13:5140
CCTV4SD,http://112.66.141.124:8888/rtp/239.253.64.15:5140
CCTV5SD,http://112.66.141.124:8888/rtp/239.253.64.23:5140
CCTV7SD,http://112.66.141.124:8888/rtp/239.253.64.16:5140
CCTV9SD,http://112.66.141.124:8888/rtp/239.253.64.242:5140
CCTV10SD,http://112.66.141.124:8888/rtp/239.253.64.18:5140
CCTV11SD,http://112.66.141.124:8888/rtp/239.253.64.19:5140
CCTV12SD,http://112.66.141.124:8888/rtp/239.253.64.20:5140
CCTV13SD,http://112.66.141.124:8888/rtp/239.253.64.21:5140
CCTV14SD,http://112.66.141.124:8888/rtp/239.253.64.22:5140
CCTV17SD,http://112.66.141.124:8888/rtp/239.253.64.53:5140
CCTV1,http://119.41.37.44:10000/rtp/239.253.64.120:5140
CCTV2,http://119.41.37.44:10000/rtp/239.253.64.195:5140
CCTV3,http://119.41.37.44:10000/rtp/239.253.64.244:5140
CCTV4,http://119.41.37.44:10000/rtp/239.253.64.196:5140
CCTV4欧洲,http://119.41.37.44:10000/rtp/239.253.64.77:5140
CCTV4美洲,http://119.41.37.44:10000/rtp/239.253.64.78:5140
CCTV5,http://119.41.37.44:10000/rtp/239.253.64.245:5140
CCTV5+,http://119.41.37.44:10000/rtp/239.253.64.100:5140
CCTV6,http://119.41.37.44:10000/rtp/239.253.64.246:5140
CCTV7,http://119.41.37.44:10000/rtp/239.253.64.54:5140
CCTV8,http://119.41.37.44:10000/rtp/239.253.64.247:5140
CCTV9,http://119.41.37.44:10000/rtp/239.253.64.76:5140
CCTV10,http://119.41.37.44:10000/rtp/239.253.64.87:5140
CCTV11,http://119.41.37.44:10000/rtp/239.253.64.70:5140
CCTV12,http://119.41.37.44:10000/rtp/239.253.64.97:5140
CCTV13,http://119.41.37.44:10000/rtp/239.253.64.59:5140
CCTV14,http://119.41.37.44:10000/rtp/239.253.64.115:5140
CCTV15,http://119.41.37.44:10000/rtp/239.253.64.72:5140
CCTV16,http://119.41.37.44:10000/rtp/239.253.64.251:5140
CCTV17,http://119.41.37.44:10000/rtp/239.253.64.67:5140
CCTV1SD,http://119.41.37.44:10000/rtp/239.253.64.12:5140
CCTV2SD,http://119.41.37.44:10000/rtp/239.253.64.13:5140
CCTV4SD,http://119.41.37.44:10000/rtp/239.253.64.15:5140
CCTV5SD,http://119.41.37.44:10000/rtp/239.253.64.23:5140
CCTV7SD,http://119.41.37.44:10000/rtp/239.253.64.16:5140
CCTV9SD,http://119.41.37.44:10000/rtp/239.253.64.242:5140
CCTV10SD,http://119.41.37.44:10000/rtp/239.253.64.18:5140
CCTV11SD,http://119.41.37.44:10000/rtp/239.253.64.19:5140
CCTV12SD,http://119.41.37.44:10000/rtp/239.253.64.20:5140
CCTV13SD,http://119.41.37.44:10000/rtp/239.253.64.21:5140
CCTV14SD,http://119.41.37.44:10000/rtp/239.253.64.22:5140
CCTV17SD,http://119.41.37.44:10000/rtp/239.253.64.53:5140
CCTV1HD,http://124.66.68.77:5105/rtp/239.254.96.82:7640
CCTV2HD,http://124.66.68.77:5105/rtp/239.254.96.124:7084
CCTV3HD,http://124.66.68.77:5105/rtp/239.254.96.67:7520
CCTV4HD,http://124.66.68.77:5105/rtp/239.254.96.180:7092
CCTV5HD,http://124.66.68.77:5105/rtp/239.254.96.66:7512
CCTV5+HD,http://124.66.68.77:5105/rtp/239.254.96.83:7004
CCTV6HD,http://124.66.68.77:5105/rtp/239.254.96.63:7488
CCTV7HD,http://124.66.68.77:5105/rtp/239.254.96.125:7104
CCTV8HD,http://124.66.68.77:5105/rtp/239.254.96.62:7480
CCTV9HD,http://124.66.68.77:5105/rtp/239.254.96.126:7112
CCTV10HD,http://124.66.68.77:5105/rtp/239.254.96.127:7116
CCTV11HD,http://124.66.68.77:5105/rtp/239.254.96.187:8166
CCTV12HD,http://124.66.68.77:5105/rtp/239.254.96.128:7124
CCTV13HD,http://124.66.68.77:5105/rtp/239.254.96.200:8205
CCTV14HD,http://124.66.68.77:5105/rtp/239.254.96.129:7132
CCTV15HD,http://124.66.68.77:5105/rtp/239.254.96.188:8170
CCTV17HD,http://124.66.68.77:5105/rtp/239.254.96.57:8204
CCTV2SD,http://124.66.68.77:5105/rtp/239.254.96.2:7000
CCTV4SD,http://124.66.68.77:5105/rtp/239.254.96.4:7016
CCTV9SD,http://124.66.68.77:5105/rtp/239.254.96.9:7056
CCTV10SD,http://124.66.68.77:5105/rtp/239.254.96.10:7064
CCTV11SD,http://124.66.68.77:5105/rtp/239.254.96.11:7072
CCTV12SD,http://124.66.68.77:5105/rtp/239.254.96.12:7080
CCTV13SD,http://124.66.68.77:5105/rtp/239.254.96.13:7264
CCTV14SD,http://124.66.68.77:5105/rtp/239.254.96.14:7236
CCTV15SD,http://124.66.68.77:5105/rtp/239.254.96.15:7104
卫视频道,#genre#
重庆卫视,http://112.66.136.235:8888/rtp/239.253.64.55:5140
